City,Product Type,Trip or Order Status,Request Time,Begin Trip Time,Dropoff Time,Distance (miles),Fare Amount,Fare Currency
Merida,uberX,COMPLETED,2018-03-04 16:44:25 +0000 UTC,2018-03-04 16:46:52 +0000 UTC,2018-03-04 17:03:27 +0000 UTC,9.83,95.93,MXN
Merida,uberX,COMPLETED,2018-02-18 16:04:52 +0000 UTC,2018-02-18 16:08:49 +0000 UTC,2018-02-18 16:14:42 +0000 UTC,1.62,23.63,MXN
Merida,uberX,COMPLETED,2018-02-16 22:20:02 +0000 UTC,2018-02-16 22:27:39 +0000 UTC,2018-02-16 22:32:48 +0000 UTC,1.19,23.07,MXN
Merida,uberX,COMPLETED,2018-02-04 10:12:49 +0000 UTC,2018-02-04 10:20:41 +0000 UTC,2018-02-04 10:24:24 +0000 UTC,0.86,22.7,MXN
Merida,uberX,COMPLETED,2018-01-27 22:46:16 +0000 UTC,2018-01-27 22:51:46 +0000 UTC,2018-01-27 23:09:00 +0000 UTC,7.74,107.42,MXN
Merida,uberX,COMPLETED,2018-01-27 19:02:49 +0000 UTC,2018-01-27 19:08:04 +0000 UTC,2018-01-27 19:16:57 +0000 UTC,1.21,27.56,MXN
Merida,uberX,CANCELED,2018-01-27 18:52:33 +0000 UTC,1970-01-01 00:00:00 +0000 UTC,1970-01-01 00:00:00 +0000 UTC,0,0,MXN
Merida,uberX,COMPLETED,2018-01-19 22:17:34 +0000 UTC,2018-01-19 22:21:01 +0000 UTC,2018-01-19 22:25:21 +0000 UTC,1.58,24.78,MXN
Merida,uberX,COMPLETED,2018-01-16 21:36:03 +0000 UTC,2018-01-16 21:39:38 +0000 UTC,2018-01-16 22:09:51 +0000 UTC,7.13,89.27,MXN
Merida,uberX,CANCELED,2018-01-03 01:23:06 +0000 UTC,1970-01-01 00:00:00 +0000 UTC,1970-01-01 00:00:00 +0000 UTC,0,0,MXN
Merida,uberX,COMPLETED,2017-12-30 06:07:59 +0000 UTC,2017-12-30 06:11:52 +0000 UTC,2017-12-30 06:25:21 +0000 UTC,7.14,76.79,MXN
Merida,uberX,COMPLETED,2017-12-23 21:54:56 +0000 UTC,2017-12-23 22:01:20 +0000 UTC,2017-12-23 22:10:59 +0000 UTC,1.91,34.59,MXN
