Genes	logFC	PValue	FDR
37_20	-3.83657907027881	3.28057691746496e-17	3.40156849189621e-15
80_83	4.33357127320182	4.14252461214803e-17	4.27414669957835e-15
155_31	4.62113763994462	4.20226755773025e-17	4.31453401944412e-15
33_89	-4.73527538860428	4.22728242142608e-17	4.31904538130582e-15
26_62	-5.29623223953664	5.40996516035962e-17	5.50056894581225e-15
58_36	-3.38197994442261	6.06635164561911e-17	6.13815145978224e-15
26_50	-3.48081590439198	6.37546030586816e-17	6.41764374186547e-15
200_17	-4.65656001741201	6.40385553616559e-17	6.41764374186547e-15
14_198	-4.42831941056322	6.44818129121473e-17	6.43129319735679e-15
10_1	4.6435413829564	8.51845101272116e-17	8.45587471381255e-15
836_3	8.40875189629693	8.93923473105876e-17	8.83171091707668e-15
145_20	-3.80188703678787	9.58006519525096e-17	9.42039744199677e-15
33359	-4.71690357075946	1.09792095746704e-16	1.07457731094145e-14
75_80	-5.0781563607724	1.17815672021736e-16	1.14774383743966e-14
376_5	-3.66677637042533	1.20595659226195e-16	1.16938707522808e-14
77_96	-3.86491235275014	1.37034772253643e-16	1.32266972573851e-14
126_23	-3.78130107590432	1.45178286561204e-16	1.39484367524056e-14
77_42	-4.87092304563992	1.52097441320341e-16	1.45464881664591e-14
18_80	8.23590056367881	1.53607875509475e-16	1.46241679661179e-14
35275	4.56518197362973	1.76090351552602e-16	1.66887439514446e-14
80_123	7.76780674189805	1.91851362745902e-16	1.81005711383464e-14
146_36	-3.58492984130847	1.96606203326557e-16	1.84659951958508e-14
2215_2	-4.18713857218854	2.13713365909507e-16	1.99831537900653e-14
54_82	9.72393218407821	2.25271020974302e-16	2.09702290413634e-14
62_66	7.96866531990986	2.37781307823985e-16	2.20368561609441e-14
106_111	-3.19351108101589	2.57508877274288e-16	2.37600151299999e-14
169_18	-5.91331703110107	2.6496534932776e-16	2.43407861476751e-14
26_49	-3.50539164389751	2.75274032366984e-16	2.51213418430259e-14
12_146	-3.56779962286556	2.75860998992407e-16	2.51213418430259e-14
1_240	-6.02408882468488	3.00185859485783e-16	2.72181507659296e-14
13_202	-3.48887222324611	3.1385496424328e-16	2.83348802848082e-14
3_371	-3.54119415538514	3.24688401243559e-16	2.91871183006281e-14
48_195	5.87514008234574	3.3291492576355e-16	2.97987312825536e-14
29_122	-3.26719393311649	3.73560996831138e-16	3.32946173558646e-14
34984	4.74968295875273	4.62353214200336e-16	4.10338477602798e-14
151_30	-3.67387015431245	4.97239080419074e-16	4.39437659889346e-14
163_9	-3.56664522572325	5.32344371355034e-16	4.68485414202991e-14
8_70	-4.02982409562654	6.41700811752316e-16	5.62360815989634e-14
79_6	-3.62573294772346	6.5932742177986e-16	5.75400535382465e-14
